job_position,company,location,career_level,qualification,years_of_exp,job_type,job_spec,job_details,salary,posted_date
R&D Data Engineer -40875,Keysight Technologies Malaysia Sdn. Bhd.,Penang,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)",4 years,Full-Time,"Engineering, Electrical","Job Description
Conduct in depth research of technical & financial information in support of the company research and business development activities.
Perform data analysis on companies, technologies and markets to support concept clearances, product development, competitive intelligence and strategic planning
Evaluate technical disclosures for patentability, commercial value and business significance and guide IP decisions through the research of current technologies
Build, automate and maintain a wide range of Business Intelligence and analytics solutions for diverse business use case.
Job Requirements
Strong technical background with proven technical competencies
Strong analytical, presentation and communication skills
Understanding of Data Analytics and operations research
Strong interest in information research and a keen reader
Work accurately and in a structured way, with excellent attention for detail
Able to handle multiple demands and competing priorities, and meet deadlines is a must
An intermediate knowledge of patents, the patenting process, and previous experience with patent searching tools and techniques is preferred, though not required
Work experience in T&M industry is not essential, but would be an advantage
Bachelors/Masters/PhD degree in Engineering",,Posted on 24-May-21
Young Talent Development Programme Executive,UTSB Management Sdn Bhd,Kuala Lumpur,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Accounting/Finance, Corporate Finance/Investment","The Young Talent Development Programme was developed to offer motivated graduates the opportunity to realize their full potential while at the same time infusing the organization with new talent; injecting fresh ideas and enthusiasm, as well as creating a diversity of perspectives within the organization.

The program runs for 36 months with 3 rotations. Based on the module track of your choice, the program will provide you with a solid base of experience from which you may build a successful career. Throughout the program, you will be exposed to various areas of business within the organization, guided by experienced supervisors, providing you with the work experience and the opportunity to develop business acumen.

After 3 rotations and identified training and development initiatives, you will be placed in a permanent department. This will take into account your preferred job scope and our business needs. By this time, you will be equipped with the skills and knowledge required to thrive in a fast-paced business environment. It is our aim through this program, to provide you with all the experience and opportunities you will need to launch a successful career with UTSB Management Sdn Bhd.
The Programme will contain the following key elements:
1. Job Rotation
Young Talent who are enrolled in this program will receive exposure and on-the-job-training through job rotation in three out of six departments in UTSBM which are Financial Accounting, Group Treasury, Group Audit, Group Tax, Investment and Portfolio Management & Trading. Each job rotation is for 1 year.
The nature of the work given within each rotation is designed to expose the talent to work in teams and develop necessary technical skills for a successful career in UTSBM.
2. Workplace Mentoring
Young Talent will be assigned a Mentor preferably a Senior Manager or HoD. The mentor is the talent's direct supervisor.
Mentor meets talent monthly to discuss work-related issues, challenges, and long-term career development plans.
3. Formal Development
Young Talent will be enrolled in formal training development programs to improve their technical skills and personal effectiveness in self-management and interpersonal skills.
Examples are 7-Habits of Highly Effective People (Covey), Business Communications, and any relevant Technical Competency Program identified by Supervisor and HoD.
Module Track 1: Candidates interested to be placed in Group Treasury, Portfolio Management & Trading or Investment:
a) 1st year in Financial Accounting or Group Treasury
b) 2nd year in Group Treasury or Portfolio Management & Trading
c) 3rd year in Investment or Portfolio Management & Trading
Placement depends on talent's interest & HOD panel Assessment
Module 2: Candidates interested in a Financial Accounting, Internal Audit or Group Tax placement, will complete:
a) 1st year in Financial Accounting
b) 2nd year in Group Audit
c) 3rd year in Group Tax
Placement depends on talent's interest & HOD panel Assessment
What we look for:
a) Well-rounded and motivated fresh graduates or individuals with less than 2 years of work experience.
b) First class honors degree/ Master's degree in Finance, Accounting, Economics, Actuarial Science, Engineering, and other relevant fields.
c) We would like to hear about your academic and extra-curricular achievements, interests, and aspirations.
d) Excellent command of the English Language (oral and written).
e) Dynamic personality, great interpersonal skills, creative and self-motivated.
f) Candidates who are authorized to work in Malaysia.
Upon completion of the programme, young talents are offered a position in their department of choice (depending on vacancy and business needs).",,Posted on 1-Jun-21
Head of Data Science,Ace Resource Advisory Services Sdn Bhd,Kuala Lumpur,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)",5 years,Full-Time,"Computer/Information Technology, IT-Software","Key Responsibilities:
Lead the analysis agenda to deeply understand our customers, our and their actions, our product offering and experience, what works or doesn’t, and develop future strategy based on that understanding
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Define technical strategies for processing, analyzing, interpreting, big data sets.
Leverage machine learning and modelling techniques to identify, analyze and present actionable data to drive business decisions.
Deepen the culture of data-driven decision making across product, operations, customer experience, and everything else.
Get (really) hands-on with analysis, coding and execution, in addition to managing contractors as necessary
Turn the complex data-driven insights you generate into simple communication for the company at large
Help the company ask the right questions, and look for answers to those questions in the right places
Continue building and scaling our (already formidable) data infrastructure and tech stack to power everything from BI dashboards to deep-mineable ad-hoc datasets
Build scalable internal systems and processes that allows the analytics function to deliver maximum insights and impact, the engineering team to deliver product that’s pre-wired to deliver clean data, and the business to rapidly make data-driven decisions
Understand the current AS-IS process, identify the gaps/challenges, agree with the process, business owner the TO-BE process and position the use of digital technology to deliver the required value
Prioritizes and manages Business Process Improvement portfolio of projects, appropriately tracking success measures to effectively execute improvements, drive performance objectives and demonstrate value.
Coordinate/Collaborate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Skills & Qualifications:
At least 8 year(s) of working experience in the related field is required for this position.
Several years of experience interfacing both with engineering (as a client for actionable data) and business (as a function to deliver insights) partners
Write Data Definition Language or Data Manipulation Language SQL commands, be responsible for improving data quality and for designing or presenting conclusions gained from analyzing data using statistical tools like Microsoft Excel, SAS, SPSS and others.
Perform analysis and deduce conclusions or observations from analysis
Able to design and improve data models
Able to interprets the modelling results, determine modes, reading scoreboards,
Preferably with hands-on experience on SAS, SPSS, or other analytics platform
Programming background in R, Python, and SQL are a must
Having Experienced in Machine Learning tools like Tensorflor, DeepDream, Amazon Machine Learning, Google Cloud Vision, etc
Working experience in diverse domains including maintenance, supply chain, manufacturing or plantation.
Technical expertise on systems, BI infrastructure, tech & reporting stack, etc.
Several years of experience generating unbiased, pressure-tested, and actionable insights from massive data sets using whatever tool/language as needed (Excel, SQL, R, Python, whatever is needed)
Tremendous attention to detail and desire to understand the underlying reality of the business operations, audience characteristics, etc.
Presenting data in charts, graphs, tables, designing and developing relational databases for collecting data and in some organizations it also includes building or designing data input or data collection screens.
Process manufacturing technology & system exposure for Pulp and Paper Manufacturing, Palm Oil refining and Viscose Fibre Manufacturing will be a bonus
 Education:
Bachelor's or Master's Degree in Artificial Intelligence/ Data Science/ Machine Learning/ Software engineering/computer science/ MIS/Engineering or related discipline
Master’s degree is preferred","MYR 12,000 - MYR 15,000",Posted on 22-May-21
Data Analyst Internship (Fresh Graduate Program),Huawei Technologies (Malaysia) Sdn. Bhd,Kuala Lumpur,Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Internship,"Engineering, Electronics","Fresh Graduate Program (Internship):
Fresh Graduate Program and Internship hiring in Huawei Malaysia is ongoing. This program offers outstanding local talents opportunity to learn and develop while participating in multiple countries ICT development. We will interview and hire fresh graduates and undergraduates 2021 who are looking for internship opportunity currently.
Interview Schedule: Video Interview On-going
Job Description:
Open to students to work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Analyse data from company databases to drive optimization and improvement of business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modelling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop processes and tools to monitor and analyse model performance and data accuracy.
Candidate Requirement:
Excellent team spirit with good communication, interpersonal skills and team collaboration.
Candidates who are currently looking for Internship who are related to Bachelor of Data Science field.
Able to start on June 2021 onwards.
Programming and database ability by using python, SQL. Familiar with Data analysis tools SAS/SPSS.",,Posted on 20-May-21
Data Scientist,Fusionex,Petaling Jaya,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)",2 years,Full-Time,"Computer/Information Technology, IT-Software, IT-Network/Sys/DB Admin","Responsibilities:
The individual should have a desire for a desire in ensuring the success transformation and adoption of the developed predictive model for the clients 
The individual is responsible to evaluate and associate the business KPIs improvement as the result delivered by the predictive models. 
The individual will be responsible for scripting data models, automating data feeds using analytics tools to help visualize data and various ad hoc projects. 
The individual will also need to drive data science projects from beginning to end, and have working experience with business understanding, data wrangling, feature engineering, hyper- parameter tuning and model tuning. 
Strong communication skills to obtain stakeholder buy-in and convince audience on the quality of the delivered models are critical to this position. 
To work collaboratively with data scientists and analysts. 
Drive improvement in methodologies, systems and processes. 
Have a deep understanding of large data, our data structures, and how to manipulate our data in an efficient manner. 
Requirements:
Graduating students encouraged to apply (Masters/PHDs would be an advantage)
Candidate with experience in marketing and/or digital marketing will be an extreme added advantage
Must possess strong passion in interrogating data and high expectation on intensive data wrangling and cleansing activities
Candidate with experience and strong methodology in operationalizing predictive model will be an added advantage
A strong knowledge of statistics and data analysis with experience in machine learning techniques (supervised and unsupervised learning), time series analysis, and experiment design
Knowledge in developing custom data visualization using D3.js is an added advantage
SQL knowledge a must
Knowledge in Python is an added advantage.
A desire to research new algorithms in data science and artificial intelligence",,Posted on 19-May-21
Python Programming Instructor,AKADEMI GA SDN. BHD.,Kuala Lumpur,Senior Executive,"Professional Certificate, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Contract,"Education/Training, Education","All Application MUST be submitted via General Assembly (akademiga.com)
GENERAL ASSEMBLY MALAYSIA: PYTHON PROGRAMMING INSTRUCTOR EXPERT INSTRUCTOR POOL
Who are we?
General Assembly Malaysia provides digital upskilling and reskilling programs to build Malaysia’s digital talent pipeline. We help individuals and enterprises meet their digital skills goals through work class programmes in a variety of digital courses including data science, digital marketing, data analytics, and software engineering. Our commitment goes beyond digital literacy, we are advisors who help our learners through their career journey or digital transformation plan. General Assembly Malaysia is a learning organisation which means we strongly believe in helping our people thrive and grow. When you join our community, you will join a community of skilled, motivated and passionate individuals who believe in the importance of upskilling and reskilling the Malaysian workforce with digital skills. 
The job
We are looking for experts in Python Programming to become part of our pool of expert instructors. By joining us, you’ll have the opportunity to share your knowledge with others, develop your mentorship and teaching skills, build your personal brand and join a global community of Python Programming experts. Our instructors come from a variety of backgrounds including full-time working professionals, freelancers and academics. What they share in common is a passion for sharing their knowledge and industry insights to build talent. If you are selected to become part of our instructor pool, you will automatically be considered for instructor roles whenever relevant teaching opportunities arise. In general, we offer both online and onsite learning. Our full-time classes run from Monday to Friday, 9-5 for 10 weeks and our part-time classes are 2-3 hours in the evenings for 10 weeks. Our instructor manager will contact you to see if you are available to teach during the required times.
Key Responsibilities:
Instruct learners on topics ranging from Python Programming Fundamentals, Control Flow, Object-Oriented Programming and Troubleshooting in Python.
Prepare in advance for classes using the curriculum developed by General Assembly
Review and provide feedback on assessments and classwork
Provide insights into life in the industry
Skills and Qualifications:
Lead Instructor - Minimum 5 years working experience in Python Programming either in academia or industry
Teaching Assistant - Less than 5 years with work experience in the industry and/or a relevant degree qualification e.g. Python Programming, Software Engineering, Data Science, Data Analytics
Strong communication skills
Passion for teaching and mentoring others
Instructors Perks
Flexible Scheduling - Choose a timing that works for you, online or onsite
On-Going Training - Opportunity to train, research, and learn in the field of Python Programming on-the-job
Global Connection - Collaborate with a growing network of fellow instructors and active Python Programming communities
Competitive pay - Opportunity to earn an additional income at an industry competitive rate",,Posted on 3-Jun-21
Business System Analyst,Elitetrax Marketing Sdn Bhd (Harvey Norman),Selangor,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Computer/Information Technology, IT-Software","Scope and general purpose  
As part of the SAP Applications team, the Business Systems Analyst (Logistics) is responsible for the gathering and analysis of business requirements, development of functional specifications and configurations of SAP system to support business operations in the retail and logistics areas. He/she is also expected to develop test plans and test scripts, coordinate/execute testing activities, conduct key users training, resolve system defects and provide end user support in the production environment.   
 Responsibilities 
Subject matter expert for the Sales and Distribution (SD) and Materials Management (MM) modules, with basic FICO and FICO integration knowledge, and knowledge of SAP interfaces with external systems such as Point of Sales (POS) system.
Act as an internal applications consultant and support all SAP functions related to the SD and MM modules.
Evaluate, recommend and implement system enhancements and/or new functionality based on operational improvement requirements and cost justification.
Engage business users in the investigation, analysis and resolution of application related issues, including root cause analysis and follow through to ensure proper and formal closure of tickets.
Gather and discuss business requirements with users independently, and translate them into system design, functional specifications and SAP configurations.
Document business blueprints, process maps, functional specifications and complete SAP configuration work.
Prepare training materials and train new/existing users on use of SAP functionalities and processes.
Involve in system upgrades and manage application of enhancement packs/support packages within the SD and MM modules.
Standby and provide after office hours assistance when necessary to support critical system issues.
Requirements
Degree in Computer Science, Logistics, Supply Chain, Business, Finance or equivalent.
A minimum of 5 years of SAP support/consulting experience in medium to large organisations, ideally within a retail environment.
Experience with at least 5 full SAP end-to-end project life cycle implementations from project initiation, blueprint and realisation through to post-live system support in SAP ECC 6.0.Experience in SAP IS-Retail is preferred.
Strong knowledge of SD and MM business processes and best practices with cross functional module integration knowledge, e.g. FICO.Good experience with In-Store Merchandise and Inventory Management (MIM) and POS Data Management (POSDM).
Knowledge and experience in unit and integration testing, user acceptance testing, preparation of test scripts, authorization and roles design, end user training and data migration.
SAP SD and MM certifications.
SAP Authorisation design and configuration.
Background in SAP consulting is an advantage.
Candidate with ABAP code checking and debug knowledge will have an advantage.
Project Management and planning experience.
Positive, self-motivated, good team player with strong analytical and problem solving skills.
Degree in Logistics, Supply Chain, Business, Finance or equivalent.
A minimum of 5 years of SAP support/consulting experience in medium to large organisations, ideally within a retail environment.
Experience with at least 5 full SAP end-to-end project life cycle implementations from project initiation, blueprint and realisation through to post-live system support in SAP ECC 6.0. Experience in SAP IS-Retail is preferred.
Strong knowledge of SD and MM business processes and best practices with cross functional module integration knowledge, e.g. FICO. Good experience with In-Store Merchandise and Inventory Management (MIM) and POS Data Management (POSDM).
Knowledge and experience in unit and integration testing,user acceptance testing, preparation of test scripts, authorization and roles design, end user training and data migration.
SAP SD and MM certifications.
Background in SAP consulting is an advantage.
Candidate with ABAP code checking and debug knowledge will have an advantage.
Project Management and planning experience.
SAP Authorisation design and configuration.
Positive, self-motivated, good team player with strong analytical and problem solving skills.","MYR 5,000 - MYR 7,000",Posted on 28-May-21
E-Commerce Business Analyst,Pactera EDGE Technologies Singapore Pte Ltd,Bukit Merah,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Computer/Information Technology, IT-Network/Sys/DB Admin"," Job brief :
 Data Labeling – creating human annotations to data so that AI tools can learn to better perform these tasks themselves. Customer uses AI to process and adapt to massive amounts of data, including the 6 trillion emails that pass through their system every day. As part of Customer’s Information Protection initiatives our Email Labeling team annotates emails for the AI filters that Customer uses to stop malicious and unwanted emails before they reach their recipients.
Responsibilities :
·        By looking at the way the email appears, the email headers that show how the email was sent, what links and attachments the email has, and a few online resources regarding the reputation of different internet domains and IP addresses and determine which categories the email fits in.
·        Identify malicious urls that phish emails attempt to get the recipient to follow so that Customer services can recognize and block them.
Requirements :
·        Bachelor’s degree in network administration, information technology, computer science, or a related field.
·        Basic knowledge of email security and networking.
·        Fluent English in speaking and writing, command of other languages preferred.
·        Good communication and problem-solving skills.
·        Flexible schedule, including the ability to work nights and weekends.
·        Experience in IT, security or systems support, or network administrator positions would be added advantage.","MYR 4,000 - MYR 5,000",Posted on 26-May-21
RPA Developer,Hannover Re,Kuala Lumpur,Junior Executive,"Professional Certificate, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",1 year,Full-Time,"Computer/Information Technology, IT-Software","Job Purpose
Focused in aiding the branch to reach its digitalization goal by producing and maintaining automated solutions, workflows, and user interfaces with RPA software and programming.
Responsibilities
• Modelling and developing robotic processes either through the use of RPA tools/software or programming languages such as Python, Java, or .Net
• Working with the team to identify, implement and maintain Developer Standards around RPA best practices for the branch
• Researching new techniques and technologies that the team can use to overcome challenges surrounding the implementation of automated solutions within the branch
• Understanding and leveraging on the solutions developed by the group/other branches and adopting said solutions for the use of the local branch

Requirements
• Must possess at least a Bachelor's Degree in Information Technology/Computer Science or equivalent.
• Minimum 1 years of experience in a RPA or Software developer role
• Experience developing workflow based solutions or functionality
• Experience working with Python is a plus
• Experience with web development technologies is a plus
• Experience with RPA Software (e.g. UI Path, WorkFusion, etc..) advantageous
• Willingness to learn and become an expert in RPA and other automation technologies
• Must be able to multitask and willing to work on multiple projects at a given time
• Strong written and verbal communication skills
• Comfortable interacting with business stakeholders
• Strong analytical and problem-solving skills",,Posted on 2-Jun-21
Business Consultant,Hitachi eBworx Sdn. Bhd.,Selangor,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Computer/Information Technology, IT-Software","Responsibilities:
Ability to conceptualise solutions, conduct research and development on leading practices, an innovative individual, working with both internal and customer teams.
Gather, analyse and manage user requirements to recommend solutions to customers.
Conduct workshops and presentations to various levels of the bank clients.
Conduct and document user requirement, develop test scripts, user guides and training materials.
Conduct functional testing to ensure system conformance to requirement.
Assist or perform as Test Manager to structure the Test Strategy & Planning.
Assist in monitoring and reporting progress for workshop requirement, documentation and testing in a timely manner.
Work closely as a team to ensure the functional requirements are developed into the application.
Requirements:
Degree in Business Management/Engineering/Computer Science/Information Technology or its equivalent.
At least 3 years’ experience in similar role, preferably in a multinational consulting firm,financial servies or major software company in a similar role.
Excellent written and oral communication skills in English. Proficiency in National Language will be an added advantage.
Detail oriented, have a passion to learn and is committed to self-improvement.
Adaptable, able to work independently as well as in a team.
Ability and willingness to travel within the region.",,Posted on 2-Jun-21
SAP eWM Consultant,Infosys Limited,,Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",5 years,Full-Time,"Computer/Information Technology, IT-Software","About Infosys:
Infosys is a global leader in next-generation digital services and consulting. We enable clients in 46 countries to navigate their digital transformation. With over three decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.
Visit www.infosys.com to see how Infosys (NYSE: INFY) can help your enterprise navigate your next.

Short Description:
Today, the corporate landscape is dynamic, and the world ahead is full of possibilities! None of the amazing things we do at Infosys would be possible without an equally amazing culture, the environment where ideas can flourish and where you are empowered to move forward as far as your ideas will take you.
At Infosys, we assure that your career will never stand still, we will inspire you to build what’s next and we will navigate further together. Our journey of learnability, values and trusted relationships with our clients continue to be the cornerstones of our organization and these values are upheld only because of our people.
Roles and Responsibilities:
• Design, build, test, deploy, maintain, and Enhance Warehouse Management functional solutions
• Develop new features as per business requirements and create documentation, including configuration guides, functional specifications, support test planning and execution
• Define and contribute to the development of interfaces between SAP and other systems
• Acts as deployment focal point for assigned data objects in scope for migration
• Interacts with local Business Data Owners (BDOs), deployment Functional
• Process Experts, ETL Team, Legacy teams, etc.)
• Analyzes defects, issues from readiness reports and manages data deviations working with relevant stakeholders until resolution
• Collaborate with the program and business teams to ensure continuous business and IT alignment
• Closely collaborate with functional and IT teams like Solution Architects, Master Data, Process SME, Business SME, users etc.
• Work closely with regional deployment lead to ensure effective project governance, management and timely reporting of progress on activities and work packages according to the program plan and milestones
• Ensure smooth handover of the solution and the systems built to the support and operations teams
Skills /Competencies
• Bachelor’s or Master degree (Computer Sciences, Software Engineering, Mathematical, Information Systems or other) or equivalent work experience;
• Certified SAP EWM with minimum 5 years experience of delivering template for Warehouse Management solutions and systems, preferably in Pharma/healthcare industry with excellent business process knowledge in Warehouse Management
• Knowledge of SAP MM, WM and EWM is mandatory
• Good knowledge of SAP S/4 HANA desirable
• Very good command of English language (speaking & writing) and work experience in a multinational environment
• Good understanding and application of tools, principles, concepts, and techniques related to requirements, data, usability and process analysis
• Good Understanding of SolMan ALM methodologies
• Has in depth knowledge of EWM business processes and understands cross functional /interfaces integration process flow, data and the dependencies
• Understands in depth architectural framework for WM/EWM domain and the connected portfolios/ interfaces
• Influencing capabilities up to Directors in business and Informatics groups.
• Good conceptual ability by understanding complex problems/information and good ability to abstract and represent the idea in a simple easy to understand way
• Good communication and business partnering skills
• Be able to manage ambiguity and conduct rapid prototyping to mature requirements
• Work in an agile environment and often on multiple initiatives in parallel
• Readiness to travel depending to the project/ services needs
• Excellent team player, excellent interpersonal skills in large multinational enterprise as well as experience in delivering projects using Roche project management methodology (PMM) or equivalent

Infosys is an equal opportunity employer and encourages applications from: Minority/Female/Veteran/People with Disability/Sexual Orientation/Gender Identity/National Origin

Please note in order to protect the interest of all parties involved in the recruitment process, Infosys does not accept any unsolicited resumes from third party vendors. In the absence of a signed agreement any submission will be deemed as non-binding and Infosys explicitly reserves the right to pursue and hire the submitted profile.  All recruitment activity must be coordinated through the Talent Acquisition department",,Posted on 3-Jun-21
Machine learning (Computer Vision) Engineer,MNJ TERAS SDN. BHD.,Petaling Jaya,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Contract,"Computer/Information Technology, IT-Software","Looking forward to use your skills to help make the world a better place? We’re building products to improve the lives of people by connecting them to GIS systems and IOT based systems.
Work with the product owner, client stakeholders and other engineers to understand the requirements of users and deliver technical features that satisfy their needs.
Use performance data from models in running production to drive the technical direction of machine learning components, with a heavy focus on research and development and application of the latest approaches from the research world.
Work within broader software engineering processes to develop, test, and promote your work through multiple steps and into production.
Be committed to creating and executing a professional development plan to grow your skills
Continue to develop your existing expertise in a range of data science and machine learning tasks, including extracting, analysing, and visualising data, and training, tuning and deploying machine learning models.
Have an attitude of personal responsibility, and take charge of solving problems, growing your skills, and making Max Kelsen a better place
Skills: 
Responsibilities
• Help design and implement functional requirements
• Build efficient back-end features in Python
• Integrate front-end components into applications
• Manage testing and bug fixes
• Prepare technical documentation
• Implement software enhancements and suggest improvements
. Learn and implement AI for Image and Video processing
Requirements
• Be the primary machine learning engineer supporting the product, with
most of your time focussed on R&D of the computer vision pipelines
At least three previous computer vision projects, utilising a combination of both classical computer vision (NumPy, openCV. Skimage, albumentations, imutils etc) and deep learning approaches.
• Solid software engineering skills and ability to follow best practices, with experience in moving machine learning models to production.
Strong proficiency with Python, and experience writing quality production code. Experience using common data analysis libraries (NumPy, pandas, Matplotlib) to manipulate and analyse data.
• Solid understanding of a variety of general model architectures and training techniques, across a range of domains (unsupervised, tabular, vision, NLP, time-series) and libraries (sklearn, XGBoost, TensorFlow/PyTorch).
• Proficient with cloud computing platforms and understanding of best practices when architecting software solutions.
Self-organised and capable of managing time to ensure projects stay on schedule. Experience working in an agile fashion is great.
• Strong communication skills, being able to create and deliver project presentations and reports to client stakeholders in a clear and professional manner.
• Have the ability to communicate technical concepts clearly to team members and clients","MYR 3,000 - MYR 6,000",Posted on 25-May-21
Senior Data Engineer,Maxis Broadband Sdn Bhd,Kuala Lumpur,Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",7 years,Full-Time,"Computer/Information Technology, IT-Software","Job Description:
Involved in innovation & creation of new Data Products & Data Solutions.
Design, develop, test, and implement ETL/streaming process. Incorporate automated quality check and performance monitoring in DataOps manner.
Advise necessary changes based on Data Platform related and open-sources technologies complimenting and enhancing DataOps process.
Implement Business Intelligence or Data Platform's applications which includes designing, development, testing and deployment of the applications.
Capture business or user requirements and perform system feasibility studies.
Subject matter support on Data Platform applications to business users, business analysts and other department domains.
Responsible for Data Governance , Master Data & Metadata Management
Conduct users training on development and applications.
Adhere and follow change management process and documentation as per company’s standard.
Selecting and integrating any Big Data tools and frameworks required to provide requested capabilities.
Experience with data warehouse design, build, deploy along with building real-time stream-processing systems, preferably using open-source solutions such as Storm or Spark-Streaming.",,Posted on 24-May-21
IT Engineer (SAP),Kaifa Technology (M) Sdn Bhd,Bukit Mertajam,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Computer/Information Technology, IT-Software","Job Requirements
-         At least Diploma/Degree in computer science/information Technology or Equivalent.
-         At least 5 years of working experience from EMS or related field is required for this position.
-         Good analytical skills and good in troubleshooting or debugging.
-         Knowledge in SAP (PP,MM, SD modules).
-         Knowledge in coordination with SAP with HQ side and to other subsidiary companies in implementation of ERP module.
-         Must able to take up ABAP coding job.
Job Scopes
-         To analyze business requirements, design, development, implementation, supporting, maintenance and continuous improvement on in-house system.
-         To take the general responsibility for the IT functions, production system and reporting to and work with IT manager.
-         To program ABAP programming for customization report and minor SAP logic programming at interface.
-         Coordination with SAP with HQ side and to other subdiary companies in implementation of ERP module.
-         Coordination in project start up for SAP blueprint, UATs.
-         Ensure the SAP system is UP in accordance to plan.",,Posted on 3-Jun-21
"Executive, Digital Application Software",Alam Flora Sdn. Bhd.,Shah Alam/Subang,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Computer/Information Technology, IT-Software","Job Responsibilities:
To analyse, develop, test, validate, deployed and support application undersigned and deliver the quality work with outstanding result within timeline and up to date with the global application development technique and trends;
To assist in coding, testing and debugging on new release;
To perform server maintenance including new Web and Client Application release and server backup and update;
To design and create new database for new modules;
To modify existing programs to confirm on system changes or make better improvement and enhancement for existing system;
To research on new technology to support automation for latest Linux or Windows System;
To apply new knowledge and programming skill by collaborate with Solution Architect, other Programmers (DAE) and System Analyst in the development of new software or applications;
To create or adopt new digitalization framework and challenge the software status-quo;
Study the current industry and future technology trend in application programming and adding the value to system or applications development by providing technical insight and advise to the team;
Keep improving the applications’ coding by using the latest script or with more secure approach and actively improvise and increase the application performance;
Acquire the data from primary or secondary data sources and for both structured & unstructured digital data and maintaining them;
To deliver the start-of-art analytics based on the user or business challenges either quick wins or impactful projects;
To collect, organize, analyse, and disseminate significant amounts of information with attention to detail and accuracy.

Job Requirements & Skills:
At least Bachelor’s Degree in Information Technology/ Computer Science or equivalent;
At least 5 years of working experience in IT Engineering/ Programming Software or/ Software Developer field is required;
Required language(s): English & Bahasa Malaysia;
Required Skill(s): Programming Knowledge: C#, Java, VB, Python, ReactJS, ViewJS, NodeJS;
Optional Skill(s): .NET Framework, Perl Language, Batch Scripting, SHELL Scripting;
Windows, Linux Knowledge and Basic Linux Command Line, Oracle, MySQL, SQL Server;
Sound knowledge of UI/UX fundamentals and applications.
Data processing and analytical (added point);
Able to clearly articulate thoughts and ideas (a must if a senior developer);
High diligence, patience under strong pressure, persistent and have good presentation skills;
Willing to travel for outstation purposes.",,Posted 13 hours ago
