news_article,label
"TOO EARLY TO SAY IF COMMUTER STATION FIRE CAUSED BY ARSON - LING
Ling-Fire
SHAH ALAM, July 8 (Bernama) -- Transport Minister Datuk Seri Dr Ling
Liong Sik said today it is too early to establish if Saturday's fire at the
Shah Alam KTM commuter station was caused by arson.
He said the police, Fire and Rescue Department and Chemistry Department
were in the process of completing their investigations and a report was
expected to be ready by next week.
""We dont want to jump the gun before the a proper investigation has
been done,"" he told reporters after inspecting the station at Section 19
here.
The minister was briefed by officials from KTM Bhd offical, police and
the Fire and Rescue Department.
Dr Ling said the fire was spotted by the police during their crime
round at 3.50am on Saturday and they immediately notified the Fire and
Rescue Department whose personnel managed to bring the blaze under control
in four minutes.
The fire destroyed the station's ticketing counter, communication room
and commuter passageway and the total loss was estimated at RM1.5 million.
""It was fortunate that the main electronic equipment was not damaged by
the fire, otherwise it will cause a lot of problems to the commuter
service,"" said Dr Ling.
-- BERNAMA
AT/SHI DC SK
",arson
"POLICE RECEIVE REPORT OF FOURTH ARSON ATTEMPT
HISHAMMUDDIN-CHURCH
KUALA LUMPUR, Jan 9 (Bernama) -- Police today received a report on another
church arson attempt involving the Good Shepherd Lutheran Church in Jalan
Othman, Petaling Jaya, making it the fourth church attack case thus far.
However, police believe this incident happened about the same time as the
others but was only reported at 2pm today.
Home Minister Datuk Seri Hishammuddin Tun Hussein, who confirmed the latest
report, urged all quarters not to make speculations and let the police carry out
investigations.
""The spreading of SMSes that there were more arson attempts on churches
today are not true.
""Don't be easily taken in by the SMSes you receive,"" he told reporters after
visiting the Metro Tabernacle in Desa Melawati here, which came under attack
yesterday. Besides this church, the others attacked were the Assumption Church
and Life Chapel in Petaling Jaya.
Meanwhile, Inspector-General of Police Tan Sri Musa Hassan, who accompanied
Hishammuddin on the visit, said in the latest case, members of the public found
several broken bottles in the church compound and burn marks on its walls.
He also said police had some leads on the suspects who attempted to torch
the Metro Tabernacle Church, but had yet to firmly establish their identities.
""A witness who is also a security guard is assisting us in identifying the
individuals responsible,"" he said.
He also advised churches to step up security measures at their premises
despite police patrols being increased.
Musa said since he gave out his handphone number yesterday, he had received
over 800 SMSes and almost 1,000 calls from the public which were not only
related to the church issue but also on criminal and illegal activities, besides
praise on the good job the police were doing in handling the sensitive church
issue.
He, however, reminded the public not to take advantage of the situation by
making nuisance calls because cases like the church issue were very serious
matters and should not be taken lightly.
-- BERNAMA
NNA  AKT DC HA
",arson
"AIRPORT ARSON: DECISION ON APPEAL IN TWO WEEKS
Court-Arson
KUALA LUMPUR, April 11 (Bernama) -- Former air traffic controller
Johari Saaid, convicted and sentenced to 10 years' jail for arson at the
airport in Subang, will know the outcome of his appeal in about two weeks.
High Court judge Datuk Kang Hwee Gee said this after hearing
submissions from Johari's counsel K. Balaguru and deputy public prosecutor
Siti Salwa Musa.
Johari was convicted by the Sessions Court in Petaling Jaya in 1996
after being found guilty of setting fire and destroying the tower at
Terminal One of the Sultan Abdul Aziz Shah Airport, then known as the Kuala
Lumpur International Airport, at 5.15am on Oct 15, 1992.
Balaguru, in his submissions, said Johari should not have been called
to enter his defence as the entire evidence adduced in the trial was not
cogent enough to convict him.
He disputed the dates given by a a shop assistant in Pekan Subang who
testified that he sold kerosene to Johari on two occasions prior to the
fire.
The court was told that the fire was caused either by kerosene or jet
fuel but the chemist was inconclusive as to which liquid was used as both
had similar compositions.
Balaguru said the duty roster showed Johari was on leave for two days
beginning Oct 5, the date he allegedly bought kerosene for the first time.
He said another prosecution witness testified Johari would normally go
back to his home in Penang whenever he was not on duty.
No evidence was adduced to indicate that Johari was in Kuala Lumpur on
Oct 5, he said.
Balaguru said the evidence by the shop assistant that Johari bought
kerosene from the shop a second time on Oct 13 (two days before the fire)
should also be rejected.
Balaguru said Johari could not have bought the kerosene on that date
because the duty roster showed that he was working from 1.30pm on Oct 13
until 7.30am the next morning.
He said the lack of investigation by the police to determine whether
Johari was in Kuala Lumpur on Oct 13 should not make Johari accountable for
the airport fire.
He added that there was evidence that anybody could have the
opportunity to gain access to the surau (prayer room), where the fire
started, as there was no security guard.
However, Siti Salwa submitted that evidence showed that the place where
the fire started was a restricted area and could not be easily entered.
She said although Johari was working on Oct 13, he still had the
opportunity to buy the kerosene before 1.30pm, adding that there was also a
break in between in his working hours.
Siti Salwa said there was no evidence that Johari went back to Penang
on Oct 5 and if it was true, he (Johari) could have asked his wife to
testify that he was at home with her on that day which he did not.
-- BERNAMA
ja sk
",arson
"CHURCH ARSON CASE FOR TRIAL ON JULY 6
COURT-CHURCH
KUALA LUMPUR, April 13 (Bernama) -- Two brothers and their friend charged
with torching the Metro Tabernacle Church AG will go on trial in the Sessions
Court here on July 6 and 7.
Judge S.M Komathy Suppiah, in fixing the date today, also ordered the
prosecution to hand over three medical reports on the accused to the defence on
the day of the trial.
Brothers Raja Mohamad Faizal Raja Ibrahim, 24, and Raja Mohamad Idzham, 23,
and their friend, Azuwan Shah Ahmad, 23, are charged with several others still
at large with committing mischief by torching the church at No 28, Jalan 4/4c,
Desa Melawati, here, at 11.50pm pm on Jan 7.
The trio, all despatch riders, are charged under section 436 of the Penal
Code which carries a maximum 20 years jail and a fine, on conviction.
Deputy public prosecutor Lee Keng Fatt said he would call 10 to 12 witnesses
and show a closed circuit tv recording of the place.
The two brothers were represented by counsel Datuk Hanif Hashim while
counsel Dzaki Ezhar Bahar represented Azuwan Shah.
-- BERNAMA
ZMN NAK JK
",arson
"CHURCH ARSON: BROTHERS SENTENCED TO FIVE YEARS' JAIL EACH
COURT-CHURCH
KUALA LUMPUR, Aug 13 (Bernama) -- The Sessions Court here sentenced two
brothers to five years' jail each after finding them guilty of torching a
church in Desa Melawati early this year.
Judge S.M. Komathy Suppiah meted out the sentence on despatch rider Raja
Mohamad Faizal Raja Ibrahim, 24, and his brother Raja Mohamad Izham, 22, a bank
employee, after ruling that they had failed to raise reasonable doubts in their
defence against the charge.
They were charged along with several others who are still at large, with
causing mischief by fire by torching the Metro Tabernacle Church at Jalan 4/4c,
Desa Melawati at 11.50pm on Jan 7 this year.
The charge under Section 436, read together with Section 34 of the same Code,
carries a maximum jail of 20 years and fine upon conviction.
On July 30, their friend Azuwan Shah Ahmad, 23, who was jointly charge with
committing the offence, was acquitted and discharged without his defence being
called.
Komathy, however, granted a stay of execution of the sentence pending an appeal
and allowed them a bail of RM20,000 each.
Komathy, who described arson attacks on places of worship ""egregious and
reprehensible"", said the court was duty-bound to ensure that a deterrent
custodial sentence was imposed on offenders who desecrate religion or religious
beliefs, to ensure peace and harmony in a multi-racial country like Malaysia.
""The imposition of lenient sentence would not send a strong and clear message
that this kind of offence would not be tolerated and condoned,"" she said.
She also said that it was fortunate that the police were able to maintain law
and order ""despite your actions which were inflammatory in more ways than one.""
Komathy said however that in passing the sentence, she was mindful of the fact
that they both were young and had no criminal record.
""It is painful when a young person is required to be incarcerated but for
offences such as the present one, considerations of compassion must yield to
those of public interest.
""The massage from this court must be loud and clear -- 'don't play with
fire',"" she said.
In mitigation, Datuk Hanif Hashim, representing both accused, urged the
court to impose a lenient sentence because it was their first offence and that
they need to look after their family.
Deputy Public Prosecutor Lailawati Ali objected and said that they should
have thought about their family prior to engaging in such act, which she said
could threaten public order.
A total of 24 prosecution and four defence witnesses testified in the trial
which started in January.
-- BERNAMA
ZMN AKT JS
",arson
"ARSON SUSPECTED TO BE CAUSE OF SAWMILL FIRE
JOHOR BAHARU, Oct 13 (Bernama) -- Arson is suspected to be the cause of
the fire which razed a sawmill at the Pandan Industrial Area early today,
causing an estimated loss of RM3 million.
Larkin Fire and Rescue office operations officer Ismail Abdullah said
he was basing his suspicion on the signs of break-in into the sawmill.
He said a major part of the fencing had been pulled down, the door of
the office in the sawmill was broken and the ceiling damaged.
Two fire engines with 16 firefighters rushed to the scene to put out
the fire believed to have started at about 4.50am, he told reporters, here.
They took about 40 minutes to control the blaze from spreading to
nearby factories, he said.
-- BERNAMA
RAM TS
",arson
"FIRE DESTROYS GODOWN, ARSON SUSPECTED
Fire-Godown
MELAKA, June 14 (Bernama) -- Fire destroyed a junk goods godown in
Taman Telok Mas here early today, and police suspect arson in the incident
that caused loss estimated at RM3 million.
A security guard, Muhamad Md Dom, 48, said he heard explosions when the
fire started after four men wearing masks had forced him to open two doors
of the godown and then tied him up and covered his head with his shirt.
Muhamad, who lives in Serkam Darat, was unhurt.
Melaka Tengah District Police Chief ACP Johari Yahya said police
regarded the case as setting fire with the use of explosives with the
intention of destroying the premises.
Melaka Fire and Rescue Department Enforcement Assistant Director Gan
Hock Seong said 25 firemen rushed to the scene in three fire trucks at 4.35
am and brought the blaze under control in 15 minutes.
Tracker dogs had been brought in to assist in the investigation into
the fire.
-- BERNAMA
MSR NO MB MGN
",arson
"POLICE DETAIN MAN IN SUSPECTED ARSON
Fire-Detained
KUALA LUMPUR, April 15 (Bernama) -- Police today detained a man to help
in the investigation into a shophouse fire which killed six family members
yesterday.
The man was arrested in Shah Alam and detained at the Kajang district
police headquarters, Hulu Langat/Kajang OCPD ACP Mokhtar Hassan said today.
He said preliminary investigation pointed to arson. Following this, a
hunt was mounted for the man.
Six people died in the 3.53am fire at the double-story shophouse in
Jalan Susur 1, near the Univerisiti Putra Malaysia mosque.
They comprised three women, Khok Hek Lan, 65, Khok Kim Yin, 37, and Kee
Lok Kiang, 34, two men, Khok Chai Peng, 46, and Kee Kim Hup, 30, and a boy,
Yap Chock Weh, 12.
Nine others who were in the building, including two Indonesian workers,
escaped the fire.
Yesterday, Kajang deputy OCPD Supt Roslan Abdullah said police
investigation showed that there was a quarrel among the family members had
that one of them had domestic problems and his wife had previously lodged
police reports. -- BERNAMA
SN JK
",arson
"SHOP, TWO CARS AND MOTORCYCLE DESTROYED IN SUSPECTED ARSON
Shop-Fire
KLANG, Feb 16 (Bernama) -- A sports souvenir shop, two cars and a
motorcycle were destroyed in a fire believed to have been set off by petrol
bombs in Lebuh Pulau Pinang here today.
A witness who did not want to be identified said three men carrying two
containers believed to be filled with petrol broke into the shop through
its front door at about 1.25am.
He claimed there were two explosions from the premises shortly after
which caused the shop's glass doors to shatter.
The fire quickly spread to two cars, a Proton Wira and another yet to
be identified, and a motorcycle parked nearby, he said.
According to the witness, the three men fled in a Honda Accord.
Police later found the containers which smelt of petrol and some lumps
of cloth.
Two fire engines from Klang North and Klang South fire stations with 15
firemen arrived at the scene at 1.53am and took about 30 minutes to put out
the blaze.
The quick action by the firemen prevented the fire from spreading to
adjoining premises and the upper floors of the five-storey building.
Klang Fire and Rescue Service Assistant Operations Officer Ismail Wahid
said the cause of the fire was being investigated.
Klang OCPD ACP Md Jamil Ayub confirmed receiving a report on the
alleged arson incident and said police would investigate the motive.
He said the case would be investigated under Section 435 of the Penal
Code for causing mischief with fire or explosives with the intention of
causing damage.
-- BERNAMA
SYA LES HA CTL
",arson
"PROSECUTION CLOSES AIRPORT ARSON CASE
Court-arson
PETALING JAYA, Nov 17 (Bernama) -- The prosecution today closed its
case against former air traffic controller Johari Saaid who is charged with
setting fire to the Kuala Lumpur International Airport Control Tower three
years ago.
A total of 35 witnessess testified for the prosecution.
Judge Mat Zaraai Alias fixed tomorrow for submissions by Deputy Public
Prosecutor Rusli Zain and defence counsel K. Balaguru.
Johari, 41, is charged with setting fire to the Kuala Lumpur
International Airport control tower at the North Wing of Terminal 1 at 5.15
am on Oct 15, 1992.
Earlier, a Malaysia Airports Berhad (MAB) operations manager, Ahmad
Tarmizi Mohamed Hashim, 34, told the court that any airport staff could
gain access to the Air Traffic Control Centre (ATCC) where the fire started
through two staircases located at the ground floor near to the Telekom
Malaysia Berhad's office.
He said that although certain staff were not authorised to enter the
centre, they could do so as there were no physical barriers (walls) and
security guards stationed at the two staircases.
Ahmad Tarmizi said that certain staff were issued with different
category of security passes which limited them to moving around their work
places and others were given security passess which permitted them to enter
the ATCC.
He said officially all ATCC staff and others should use the staff
entrance to enter the ATCC where security guards were stationed for
inspection.
Ahmad Tarmizi said the two staircases could lead any staff to the ATCC
including personnel from Telekom Malaysia and the runway as there were no
fence separating the runway and the lower concourse level of the building
measuring 2.2 metres.
He also said that he had visited the ATCC after the fire occurred with
investigating officer Hanafiah Mohamed Noor, firemen, personnel from the
Department of Civil Aviation and the police.
He however said no one could enter the ATCC through the duty free shop
area because the centres were separated by a wall. -- Bernama
",arson
"FIVE STUDENTS ARRESTED FOR SUSPECTED ARSON AT SCHOOL
SHAH ALAM, Dec 17 (Bernama) -- Five form five students suspected of
trying to set on fire their school here on Saturday have been arrested.
They were picked up yesterday from their homes in Sections 18, 19 and
Alam Mega after the school principal lodged a police report on Saturday,
Shah Alam police chief ACP Fauzi Saari said today.
He said a group of students allegedly torched a temporary store at the
Section 18 school at about noon but the blaze was put out by several
teachers.
The store contained desks and chairs meant for the 1997 school term and
several mattresses used in sport activities. Only the mattresses valued at
about RM300 were burnt.
Fauzi said the arrested students had finished sitting the second last
paper in the Sijil Pelajaran Malaysia examination just before the incident.
The students were being held at the district police station lock-up for
investigation. -- BERNAMA
KM CTL
",arson
"former ATC CALLED TO MAKE DEFENCE ON ARSON CHARGE
Court-controller
PETALING JAYA, Nov 18 (Bernama) -- The Session's Court here today
ordered former air traffic controller Johari Saaid, charged with setting
fire to the control tower at Kuala Lumpur International Airport in Subang
three years ago, to enter his defence.
Judge Mat Zaraai Alias fixed Dec 11 and 13 for Johari to make his
defence.
Johari, 41, was alleged to have set fire to the control tower building
at Terminal One at 5.15 am on Oct 15, 1992.
The charge under Section 436 of the Penal Code carries a maximum jail
term of 20 years and fine if convicted.
Counsel K. Balaguru told the court that he would call three more
witnesses apart from Johari to testify in the case.
They are, a retail shop owner, Editor of New Straits Times (NST) and
Transport Minister Datuk Seri Dr Ling Liong Sik.
Earlier, Balaguru asked the court to acquit his client, saying that the
prosecution had not established a prima facie case.
He said the prosecution case was based entirely on circumstantial
evidence.
DPP Rusli Zain said the prosecution had submitted sufficient evidence
to warrant the court to call on Johari to make his defence,--Bernama
",arson
